tool_name,year,n_studies
Climate Risk Viewer,2023,3
Climate Risk Viewer,2024,14
Climate Risk Viewer,2025,4
Climate and Economic Justice Screening Tool (CEJST),2022,100
Climate and Economic Justice Screening Tool (CEJST),2023,196
Climate and Economic Justice Screening Tool (CEJST),2024,300
Climate and Economic Justice Screening Tool (CEJST),2025,145
EJScreen,2016,7
EJScreen,2017,1
EJScreen,2018,7
EJScreen,2019,6
EJScreen,2020,10
EJScreen,2021,58
EJScreen,2022,274
EJScreen,2023,293
EJScreen,2024,345
EJScreen,2025,185
Environmental Justice Index (EJI),2022,1
Environmental Justice Index (EJI),2023,14
Environmental Justice Index (EJI),2024,51
Environmental Justice Index (EJI),2025,44
Future Risk Index (FRI),2024,3
Future Risk Index (FRI),2025,2
